label,saved_status,rung1,growth,rung2,rung3,nonoptimal_T,classes,n_structural_zero,n_unresolved,n_resolved_on_retry,agrees_with_saved,status
D44:baseline_start,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1117;0.485;0.7259;1.168;1.427;1.446;1.414;1.296;1.108;0.8329;0.2479,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:dTopt_minus_0.02,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1125;0.4872;0.7288;1.171;1.427;1.446;1.413;1.295;1.106;0.8306;0.2467,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:dTopt_plus_0.02,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1108;0.4828;0.723;1.165;1.426;1.446;1.414;1.297;1.11;0.8352;0.2491,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:dTopt_minus_0.04,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1134;0.4895;0.7317;1.174;1.428;1.446;1.413;1.294;1.103;0.8283;0.2455,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:dTopt_plus_0.04,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1099;0.4805;0.7201;1.163;1.426;1.446;1.414;1.298;1.112;0.8375;0.2503,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:topt_scale_minus_0.02,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1125;0.4874;0.7294;1.172;1.427;1.446;1.413;1.295;1.106;0.8307;0.2469,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:topt_scale_plus_0.02,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1108;0.4826;0.7224;1.165;1.426;1.446;1.414;1.297;1.109;0.835;0.2489,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:topt_scale_minus_0.04,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1134;0.4899;0.7329;1.175;1.428;1.446;1.413;1.295;1.104;0.8286;0.2459,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:topt_scale_plus_0.04,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1099;0.4802;0.719;1.161;1.426;1.446;1.414;1.298;1.111;0.8372;0.2499,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
D44:dCp_scale_minus_0.02,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0;0.1132;0.488;0.7297;1.171;1.427;1.446;1.414;1.297;1.109;0.8354;0.2497,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,infeasible;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal,0,STRUCTURAL_ZERO,1,0,0,True,OK
