path,source_report,what_it_shows,status,deciding_fact,used_in_deck
reports/ecoli_tpc/assets/figures/example_enzyme_kcatT.png,ecoli_tpc,per-enzyme relative turnover k(T) and native folded fraction f_N(T) for ~12 enzymes,AS IS,deterministic layer illustration; no fitted interval. USED - slide 2,USED
reports/ecoli_tpc/assets/figures/reference_tpc.png,ecoli_tpc,"model growth TPC at the reference point with T_opt, r_max, CT_min/CT_max and E_a marked",AS IS,single deterministic curve at the tuned point. USED - slide 6,USED
reports/ecoli_tpc/assets/figures/proteome_sector_fractions.png,ecoli_tpc,MEASURED proteome-sector mass fractions vs LB temperature; chaperone sector ramps above 37 C,AS IS,"measured data, no model. USED - slide 7",USED
reports/ecoli_tpc/assets/figures/validation_trusted_curves.png,ecoli_tpc,"a-priori prediction vs the exact-strain curve (Van Derlinden MG1655/BHI, 7-46 C), nothing fit",AS IS,no fitted parameters and therefore no interval; the ~2.3-fold peak deficit is the point. USED - slide 6,USED
reports/ecoli_tpc/assets/figures/decomp_iqr_bands.png,ecoli_tpc,growth curves reachable by moving one lever group alone over a standardised range,AS IS,"band is a LEVER SWEEP, not posterior draws. USED - slide 12 arc",USED
reports/ecoli_tpc/assets/figures/elasticity_heatmap.png,ecoli_tpc,elasticities of every descriptor to every lever at the tuned point,AS IS,deterministic finite differences at one point; no interval. USED - slide 7,USED
reports/ecoli_tpc/assets/figures/decomp_variance.png,ecoli_tpc,"Shapley variance shares, envelope vs magnitude, per curve descriptor",AS IS,deterministic decomposition,
reports/ecoli_tpc/assets/figures/control_thermal.png,ecoli_tpc,enzymes ranked by thermal-envelope control coefficient; acpP dominates,AS IS,deterministic control coefficients,
reports/ecoli_tpc/assets/figures/corner_v3.png,ecoli_tpc,13-parameter corner plot of the old E. coli posterior,NOT USABLE,the whole figure IS the old posterior that P8/P11/P12 showed cannot be summarised by one distribution; superseded by P12's basin map,
reports/ecoli_tpc/assets/figures/prior_vs_posterior_tpc.png,ecoli_tpc,prior vs posterior-predictive TPC with a 90 % band,NOT USABLE,"the 90 % band is drawn from the old posterior - an UNSUPPORTED interval INSIDE the image, which no slide caveat can remove",
reports/ecoli_tpc/assets/figures/elasticity_tornado_rmax.png,ecoli_tpc,"levers ranked by elasticity on r_max, whiskers = 90 % CI over posterior draws",NOT USABLE,same: the whiskers are old-posterior intervals drawn into the image. The heatmap carries the same result without them,
reports/ecoli_tpc/assets/figures/elasticity_tornado_CTmax_C.png,ecoli_tpc,as above for CT_max,NOT USABLE,same reason,
reports/ecoli_tpc/assets/figures/elasticity_tornado.png,ecoli_tpc,"as above, combined",NOT USABLE,same reason,
reports/ecoli_tpc/assets/figures/calibrated_ensemble.png,ecoli_tpc,TPC ensemble over calibrated draws,NOT USABLE,an ensemble over the old posterior's draws,
reports/ecoli_tpc/assets/figures/tpc_ensemble.png,ecoli_tpc,TPC ensemble over prior draws,CAVEAT,"prior-predictive, not posterior - usable if the slide says prior; not needed",
