label,saved_status,rung1,growth,rung2,rung3,nonoptimal_T,classes,n_structural_zero,n_unresolved,n_resolved_on_retry,agrees_with_saved,status
red2_6800:490,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:491,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:492,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:493,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:494,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:495,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:496,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:497,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:498,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
red2_6800:499,,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;0;0;0;0;0;0;0;0;0;0;0,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible;infeasible,0;1;2;3;4;5;6;7;8;9;10;11,STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO;STRUCTURAL_ZERO,12,0,0,,OK
